DESTINATION_SUBZONE,LU_H,LU_W,LU_O
QTSZ02,0.5052631578947369,0.2736842105263158,0.22105263157894736
QTSZ03,0.7727272727272727,0.022727272727272728,0.20454545454545456
QTSZ04,0.5185185185185186,0.16049382716049385,0.3209876543209877
QTSZ05,0.7207207207207208,0.08108108108108109,0.1981981981981982
QTSZ06,0.5947712418300654,0.07843137254901959,0.32679738562091504
QTSZ07,0.10344827586206896,0.3448275862068966,0.5517241379310345
QTSZ08,0.06614173228346457,0.7023622047244095,0.23149606299212597
QTSZ09,0.07042253521126761,0.2535211267605634,0.676056338028169
QTSZ10,0.42342342342342343,0.15315315315315314,0.42342342342342343
QTSZ11,0.05580357142857143,0.32589285714285715,0.6183035714285714
QTSZ12,0.00819672131147541,0.9098360655737706,0.0819672131147541
QTSZ13,0.29927007299270075,0.5328467153284672,0.1678832116788321
QTSZ14,0.10384615384615384,0.7884615384615384,0.10769230769230768
QTSZ15,0.16666666666666666,0.5757575757575757,0.2575757575757575
RCSZ01,0.3018867924528302,0.2641509433962264,0.4339622641509434
RCSZ02,0.30434782608695654,0.043478260869565216,0.6521739130434783
RCSZ03,0.4444444444444444,0.25925925925925924,0.2962962962962963
RCSZ04,0.0,0.0,1.0
RCSZ05,0.11363636363636365,0.2272727272727273,0.6590909090909091
RCSZ06,0.16666666666666666,0.3333333333333333,0.5
RCSZ08,0.13513513513513514,0.4324324324324324,0.4324324324324324
RCSZ09,0.15384615384615383,0.3846153846153846,0.46153846153846156
RCSZ10,0.16336633663366337,0.26732673267326734,0.5693069306930694
RVSZ01,0.2857142857142857,0.14285714285714285,0.5714285714285714
RVSZ02,0.0,1.0,0.0
RVSZ03,0.5652173913043478,0.21739130434782608,0.21739130434782608
RVSZ04,0.2,0.6000000000000001,0.2
RVSZ05,0.29545454545454547,0.5,0.20454545454545456
SBSZ01,0.8021978021978021,0.01648351648351648,0.1813186813186813
SBSZ02,0.6144578313253012,0.024096385542168676,0.3614457831325301
SBSZ03,0.6716791979949875,0.11528822055137844,0.2130325814536341
SBSZ04,0.7612903225806451,0.11612903225806451,0.12258064516129032
SBSZ05,0.8518518518518519,0.018518518518518517,0.12962962962962962
SBSZ06,0.35,0.09999999999999999,0.5499999999999999
SBSZ07,0.0,0.8333333333333333,0.16666666666666666
SBSZ08,0.0851063829787234,0.8936170212765958,0.02127659574468085
SBSZ09,0.07352941176470588,0.8088235294117647,0.11764705882352941
SESZ02,0.7593123209169055,0.03724928366762178,0.2034383954154728
SESZ03,0.6472114137483788,0.07263294422827497,0.2801556420233463
SESZ04,0.7064439140811456,0.07637231503579951,0.2171837708830549
SESZ05,0.75,0.0851063829787234,0.16489361702127658
SESZ06,0.7231075697211156,0.029880478087649404,0.24701195219123506
SESZ07,0.6666666666666666,0.3333333333333333,0.0
SGSZ01,0.7971014492753624,0.04347826086956522,0.15942028985507248
SGSZ02,0.014925373134328358,0.8955223880597014,0.08955223880597014
SGSZ03,0.4610778443113772,0.43113772455089827,0.10778443113772457
SGSZ04,0.5932642487046632,0.11658031088082901,0.2901554404145078
SGSZ05,0.6666666666666667,0.2361111111111111,0.09722222222222224
SGSZ06,0.34285714285714286,0.07692307692307691,0.5802197802197802
SGSZ07,0.911764705882353,0.0196078431372549,0.06862745098039216
SISZ01,0.2264150943396226,0.3584905660377358,0.4150943396226415
SKSZ01,0.034482758620689655,0.896551724137931,0.06896551724137931
SKSZ02,0.25,0.25,0.5
SKSZ03,0.16666666666666669,0.638888888888889,0.19444444444444448
SKSZ04,0.19047619047619047,0.6190476190476191,0.19047619047619047
SKSZ05,0.0,0.75,0.25
SLSZ01,0.07317073170731707,0.7317073170731707,0.19512195121951217
SLSZ04,0.0,0.6666666666666666,0.3333333333333333
SRSZ01,0.19166666666666665,0.4666666666666667,0.3416666666666667
SRSZ02,0.0625,0.5703125,0.3671875
SRSZ03,0.1111111111111111,0.3492063492063492,0.5396825396825397
