SUBZONE_C,X,Y
1124079,127.07881942998421,37.51771945915046
1124080,127.09431930713002,37.5136383694599
1124081,127.13162901446505,37.482788950921204
1124082,127.14124305323206,37.48166110382222
1125053,127.14594061092629,37.55037139655671
1125054,127.15420465690762,37.54828868170931
1125055,127.15030722568471,37.56334717933063
1125056,127.1616393071425,37.565865150019306
1125058,127.12324224166058,37.55738055926056
1125059,127.13850908244106,37.56150498510522
1125061,127.13858167218494,37.5463185088136
1125063,127.13319593991557,37.53965386753743
1125065,127.1255188577113,37.528764076125675
1125066,127.12773683846885,37.53436452419717
1125067,127.13379669777834,37.528403561925465
1125070,127.14043468496321,37.5231451702312
1125071,127.14741382644965,37.53151448306287
1125072,127.13458563736852,37.5518550042178
1125073,127.1222750746365,37.544690975826306
1125074,127.14590682473367,37.53972505115118
